,ProductName,CurrentPrice,MRP,Stars,Ratings,Reviews,Processor,RAM,Storage,ImageURL
0,HP Ryzen 5 Hexa Core 5500U,46990,57042,4.4,408 ,55 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2rwzgw0/computer/m/k/o/-original-imagefmhxu9rmfjq.jpeg?q=70
1,HP Core i3 11th Gen,40990,51506,4.2,167 ,18 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzrbiq80/computer/v/d/d/15s-fq2626tu-thin-and-light-laptop-hp-original-imagbpb2sztfprgz.jpeg?q=70
2,ASUS VivoBook 15 (2022) Core i5 11th Gen,47990,70990,4.3,1441 ,146 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
3,HP Core i3 11th Gen,42990,52900,4.3,40 ,6 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l0zm64w0/computer/k/h/m/14s-dq2606tu-thin-and-light-laptop-hp-original-imagcnsfnrzvzbs6.jpeg?q=70
4,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47490,68490,4.3,404 ,49 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
5,Lenovo IdeaPad 3 Core i5 10th Gen,45990,64290,4.1,188 ,17 ,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
6,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,45990,58990,4.5,949 ,175 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
7,HP Ryzen 5 Hexa Core 5500U,48490,60959,4.4,157 ,19 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzrbiq80/computer/q/w/v/15s-eq2144au-thin-and-light-laptop-hp-original-imagbpb2qzqx6knt.jpeg?q=70
8,ASUS VivoBook 14 (2022) Core i5 11th Gen,47990,72990,4.2,138 ,12 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
9,ASUS VivoBook 15 (2021) Core i5 10th Gen,45990,64990,4,5 ,0 ,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
10,Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,49990,68490,4.8,11 ,4 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kxuqdu80/computer/o/u/j/lenovo-core-i5-laptop-lenovo-original-imaga7u8ehmnfggx.jpeg?q=70
11,DELL Inspiron Ryzen 5 Dual Core 3450U,46790,62422,5,3 ,0 ,AMD Ryzen 5 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l0bbonk0/computer/t/b/s/inspiron-3515-thin-and-light-laptop-dell-original-imagc4m6eggez5gg.jpeg?q=70
12,HP 15s Ryzen 3 Dual Core 3250U,41490,48294,4.3,3663 ,446 ,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kk2wl8w0/computer/z/u/5/hp-original-imafzgdgcbtxvjka.jpeg?q=70
13,ASUS VivoBook 15 (2022) Core i5 10th Gen,47990,62990,4.1,76 ,7 ,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
14,DELL Inspiron Core i3 11th Gen,49990,68658,4.4,117 ,13 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kod858w0/computer/a/a/i/na-2-in-1-laptop-dell-original-imag2ueajx2uhvcg.jpeg?q=70
15,HP Core i3 11th Gen,41990,49590,4.3,1070 ,99 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kyt0ya80/computer/s/z/b/-original-imagayc6ahrmg8y7.jpeg?q=70
16,acer Aspire 5 Core i5 11th Gen,49990,64999,4.3,36 ,4 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kybvo280/computer/6/u/v/-original-imagah7xakzzergf.jpeg?q=70
17,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,49990,62990,4.5,271 ,42 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
18,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen,46990,62990,3.3,3 ,0 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
19,RedmiBook Pro Core i5 11th Gen,48990,59990,4.2,1855 ,254 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
20,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,48490,67990,,0,0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kwmfqfk0/computer/8/l/2/ideapad-3-14acl6-thin-and-light-laptop-lenovo-original-imag99kmftdeexpz.jpeg?q=70
21,HP Ryzen 3 Quad Core 5300U,38890,49446,4.1,309 ,45 ,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kyrlifk0/computer/a/q/f/15s-eq2143au-thin-and-light-laptop-hp-original-imagaxg6jbj5zhhy.jpeg?q=70
22,HP Core i3 11th Gen,42490,51748,4.1,95 ,9 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2jcccw0/computer/s/k/0/-original-imagdus5mrsgjepa.jpeg?q=70
23,Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen,42990,58890,4.4,167 ,30 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kpft18w0/computer/h/q/n/na-thin-and-light-laptop-lenovo-original-imag3zc8tzvqd26n.jpeg?q=70
24,ASUS VivoBook Flip 14 Core i3 11th Gen,49990,63990,4.8,16 ,1 ,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kykgb680/computer/4/7/s/tp470ea-ec511ws-thin-and-light-laptop-asus-original-imagaryqadzcap7c.jpeg?q=70
25,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen,48490,75390,4.3,406 ,40 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/n/n/a/na-thin-and-light-laptop-lenovo-original-imag3dnyeycazpvf.jpeg?q=70
26,Lenovo IdeaPad Core i5 10th Gen,47999,79690,4.4,13 ,0 ,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
27,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,45990,58990,4.5,949 ,175 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
28,DELL Inspiron Core i3 10th Gen,45190,60122,4.5,26 ,2 ,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kt8zb0w0/computer/n/m/v/inspiron-3511-thin-and-light-laptop-dell-original-imag6n5kbmfcgxk6.jpeg?q=70
29,HP Ryzen 3 Quad Core 5300U,39990,50597,4.4,291 ,51 ,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kyt0ya80/computer/y/t/q/14s-fq1089au-thin-and-light-laptop-hp-original-imagayfyth9f3xd8.jpeg?q=70
30,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47490,68490,4.3,404 ,49 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
31,HP 15s Core i3 11th Gen,42490,51748,5,5 ,0 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzllrbk0/computer/p/p/a/fr2508tu-thin-and-light-laptop-hp-original-imagbksgawvpnh6g.jpeg?q=70
32,ASUS Ryzen 5 Hexa Core 5500U,47650,68990,4.4,11 ,1 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/klscivk0/computer/d/f/d/x415jf-ek522ts-thin-and-light-laptop-asus-original-imagyufa2sywf9ub.jpeg?q=70
33,MSI Core i5 11th Gen,45990,66990,4.2,19 ,3 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/klzhq4w0/computer/s/k/x/na-thin-and-light-laptop-msi-original-imagyzpcazfbmhjp.jpeg?q=70
34,Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen,42990,58890,4.4,167 ,30 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kpft18w0/computer/h/q/n/na-thin-and-light-laptop-lenovo-original-imag3zc8tzvqd26n.jpeg?q=70
35,ASUS Core i5 10th Gen,49990,62990,4.3,1674 ,154 ,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
36,DELL Inspiron Ryzen 5 Quad Core 3450U,49990,66161,4.1,76 ,8 ,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70
37,DELL 3000 Core i3 11th Gen,42990,55506,4,22 ,1 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim2.flixcart.com/image/312/312/kvcpn680/computer/d/f/c/dell-insprion-3511-core-i3-11th-gen-8-gb-1-tb-hdd-windows-11-original-imag89vxrjghmsjc.jpeg?q=70
38,DELL Inspiron Core i3 10th Gen,46990,60046,4.3,56 ,6 ,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70
39,DELL Inspiron Core i3 11th Gen,48990,58567,4.3,310 ,26 ,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kt8zb0w0/computer/n/m/v/inspiron-3511-thin-and-light-laptop-dell-original-imag6n5kbmfcgxk6.jpeg?q=70
40,MSI Core i3 10th Gen,46990,55990,4.3,149 ,19 ,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kuef2q80/computer/d/a/o/modern-14-b10mw-thin-and-light-laptop-msi-original-imag7jcak5zvgxaa.jpeg?q=70
41,HP Ryzen 5 Hexa Core,48490,60959,4.3,26 ,2 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzfvzww0/computer/r/g/i/hp-laptop-15s-eq2144au-amd-ryzen-5-5500u-8gb-ddr4-512-gb-pcie-original-imagbg5jctdf4xwf.jpeg?q=70
